instrument,youtube_id,sample_key,video_path,sample_dir
accordion,UKk9DJD1jOo,accordion/UKk9DJD1jOo,raw_videos/accordion/UKk9DJD1jOo.mp4,processed/accordion/UKk9DJD1jOo
accordion,-DlGdZNAsxA,accordion/-DlGdZNAsxA,raw_videos/accordion/-DlGdZNAsxA.mp4,processed/accordion/-DlGdZNAsxA
accordion,7G6QVPCHv6Q,accordion/7G6QVPCHv6Q,raw_videos/accordion/7G6QVPCHv6Q.mp4,processed/accordion/7G6QVPCHv6Q
accordion,qMFYRw0uZ_E,accordion/qMFYRw0uZ_E,raw_videos/accordion/qMFYRw0uZ_E.mp4,processed/accordion/qMFYRw0uZ_E
accordion,6hQHOZNwfRs,accordion/6hQHOZNwfRs,raw_videos/accordion/6hQHOZNwfRs.mp4,processed/accordion/6hQHOZNwfRs
accordion,nQpXK7PS-oo,accordion/nQpXK7PS-oo,raw_videos/accordion/nQpXK7PS-oo.mp4,processed/accordion/nQpXK7PS-oo
accordion,0N26WnKiCIg,accordion/0N26WnKiCIg,raw_videos/accordion/0N26WnKiCIg.mp4,processed/accordion/0N26WnKiCIg
accordion,CgCMBFcifVE,accordion/CgCMBFcifVE,raw_videos/accordion/CgCMBFcifVE.mp4,processed/accordion/CgCMBFcifVE
accordion,bq5utI8KK_8,accordion/bq5utI8KK_8,raw_videos/accordion/bq5utI8KK_8.mp4,processed/accordion/bq5utI8KK_8
accordion,fful4o8CIW8,accordion/fful4o8CIW8,raw_videos/accordion/fful4o8CIW8.mp4,processed/accordion/fful4o8CIW8
accordion,oOCHF3GgKLs,accordion/oOCHF3GgKLs,raw_videos/accordion/oOCHF3GgKLs.mp4,processed/accordion/oOCHF3GgKLs
accordion,KC2RgtW4IZ0,accordion/KC2RgtW4IZ0,raw_videos/accordion/KC2RgtW4IZ0.mp4,processed/accordion/KC2RgtW4IZ0
accordion,t_3Zm1PbydA,accordion/t_3Zm1PbydA,raw_videos/accordion/t_3Zm1PbydA.mp4,processed/accordion/t_3Zm1PbydA
accordion,Oytzh19NE6w,accordion/Oytzh19NE6w,raw_videos/accordion/Oytzh19NE6w.mp4,processed/accordion/Oytzh19NE6w
accordion,2WZsNZrbt6w,accordion/2WZsNZrbt6w,raw_videos/accordion/2WZsNZrbt6w.mp4,processed/accordion/2WZsNZrbt6w
accordion,vhVtX8F0-BY,accordion/vhVtX8F0-BY,raw_videos/accordion/vhVtX8F0-BY.mp4,processed/accordion/vhVtX8F0-BY
accordion,BH1RcLuHUo8,accordion/BH1RcLuHUo8,raw_videos/accordion/BH1RcLuHUo8.mp4,processed/accordion/BH1RcLuHUo8
accordion,4jGq3kfsJpg,accordion/4jGq3kfsJpg,raw_videos/accordion/4jGq3kfsJpg.mp4,processed/accordion/4jGq3kfsJpg
accordion,9okuB-rub8c,accordion/9okuB-rub8c,raw_videos/accordion/9okuB-rub8c.mp4,processed/accordion/9okuB-rub8c
accordion,q4kscRK91y4,accordion/q4kscRK91y4,raw_videos/accordion/q4kscRK91y4.mp4,processed/accordion/q4kscRK91y4
accordion,cFskXS823Kk,accordion/cFskXS823Kk,raw_videos/accordion/cFskXS823Kk.mp4,processed/accordion/cFskXS823Kk
accordion,1LnKd5cuqIc,accordion/1LnKd5cuqIc,raw_videos/accordion/1LnKd5cuqIc.mp4,processed/accordion/1LnKd5cuqIc
accordion,RRjph7N4hvk,accordion/RRjph7N4hvk,raw_videos/accordion/RRjph7N4hvk.mp4,processed/accordion/RRjph7N4hvk
accordion,MKSTzG114d0,accordion/MKSTzG114d0,raw_videos/accordion/MKSTzG114d0.mp4,processed/accordion/MKSTzG114d0
accordion,PohzBumrY2Q,accordion/PohzBumrY2Q,raw_videos/accordion/PohzBumrY2Q.mp4,processed/accordion/PohzBumrY2Q
accordion,Dcp8AuzTG-w,accordion/Dcp8AuzTG-w,raw_videos/accordion/Dcp8AuzTG-w.mp4,processed/accordion/Dcp8AuzTG-w
accordion,_jPFkOkNjuo,accordion/_jPFkOkNjuo,raw_videos/accordion/_jPFkOkNjuo.mp4,processed/accordion/_jPFkOkNjuo
accordion,ADxyFxpe1ls,accordion/ADxyFxpe1ls,raw_videos/accordion/ADxyFxpe1ls.mp4,processed/accordion/ADxyFxpe1ls
accordion,phwHB8nASOo,accordion/phwHB8nASOo,raw_videos/accordion/phwHB8nASOo.mp4,processed/accordion/phwHB8nASOo
accordion,9tiymgwLnKE,accordion/9tiymgwLnKE,raw_videos/accordion/9tiymgwLnKE.mp4,processed/accordion/9tiymgwLnKE
accordion,kCMA0wi7i6Y,accordion/kCMA0wi7i6Y,raw_videos/accordion/kCMA0wi7i6Y.mp4,processed/accordion/kCMA0wi7i6Y
accordion,OIBq0bBziuw,accordion/OIBq0bBziuw,raw_videos/accordion/OIBq0bBziuw.mp4,processed/accordion/OIBq0bBziuw
accordion,Z_yNLFYjpsY,accordion/Z_yNLFYjpsY,raw_videos/accordion/Z_yNLFYjpsY.mp4,processed/accordion/Z_yNLFYjpsY
accordion,s1hBC8N4-Zo,accordion/s1hBC8N4-Zo,raw_videos/accordion/s1hBC8N4-Zo.mp4,processed/accordion/s1hBC8N4-Zo
accordion,YhwsPeOGnGg,accordion/YhwsPeOGnGg,raw_videos/accordion/YhwsPeOGnGg.mp4,processed/accordion/YhwsPeOGnGg
accordion,wL4D9BQ_wr8,accordion/wL4D9BQ_wr8,raw_videos/accordion/wL4D9BQ_wr8.mp4,processed/accordion/wL4D9BQ_wr8
accordion,Y5EwbTgIswk,accordion/Y5EwbTgIswk,raw_videos/accordion/Y5EwbTgIswk.mp4,processed/accordion/Y5EwbTgIswk
accordion,1oz3h9doX_g,accordion/1oz3h9doX_g,raw_videos/accordion/1oz3h9doX_g.mp4,processed/accordion/1oz3h9doX_g
accordion,STtGADifdUw,accordion/STtGADifdUw,raw_videos/accordion/STtGADifdUw.mp4,processed/accordion/STtGADifdUw
accordion,yn1NaZWN_qQ,accordion/yn1NaZWN_qQ,raw_videos/accordion/yn1NaZWN_qQ.mp4,processed/accordion/yn1NaZWN_qQ
accordion,cp_0VICDDSc,accordion/cp_0VICDDSc,raw_videos/accordion/cp_0VICDDSc.mp4,processed/accordion/cp_0VICDDSc
accordion,Ct-SQmiA31s,accordion/Ct-SQmiA31s,raw_videos/accordion/Ct-SQmiA31s.mp4,processed/accordion/Ct-SQmiA31s
accordion,ZoE25YHTGDQ,accordion/ZoE25YHTGDQ,raw_videos/accordion/ZoE25YHTGDQ.mp4,processed/accordion/ZoE25YHTGDQ
accordion,MEmFOoUi1mQ,accordion/MEmFOoUi1mQ,raw_videos/accordion/MEmFOoUi1mQ.mp4,processed/accordion/MEmFOoUi1mQ
accordion,uhPhK57_Hbo,accordion/uhPhK57_Hbo,raw_videos/accordion/uhPhK57_Hbo.mp4,processed/accordion/uhPhK57_Hbo
accordion,YOsQCT8pV9U,accordion/YOsQCT8pV9U,raw_videos/accordion/YOsQCT8pV9U.mp4,processed/accordion/YOsQCT8pV9U
accordion,3FvmvEI9gnc,accordion/3FvmvEI9gnc,raw_videos/accordion/3FvmvEI9gnc.mp4,processed/accordion/3FvmvEI9gnc
accordion,mrLopN_e2Ys,accordion/mrLopN_e2Ys,raw_videos/accordion/mrLopN_e2Ys.mp4,processed/accordion/mrLopN_e2Ys
accordion,eHaGWcG7wB8,accordion/eHaGWcG7wB8,raw_videos/accordion/eHaGWcG7wB8.mp4,processed/accordion/eHaGWcG7wB8
accordion,P156wJ9v_u8,accordion/P156wJ9v_u8,raw_videos/accordion/P156wJ9v_u8.mp4,processed/accordion/P156wJ9v_u8
accordion,KafzJhc3h94,accordion/KafzJhc3h94,raw_videos/accordion/KafzJhc3h94.mp4,processed/accordion/KafzJhc3h94
accordion,P22CHuxAu0M,accordion/P22CHuxAu0M,raw_videos/accordion/P22CHuxAu0M.mp4,processed/accordion/P22CHuxAu0M
accordion,NvwSyzjAQcI,accordion/NvwSyzjAQcI,raw_videos/accordion/NvwSyzjAQcI.mp4,processed/accordion/NvwSyzjAQcI
accordion,pGbd4tmeqKU,accordion/pGbd4tmeqKU,raw_videos/accordion/pGbd4tmeqKU.mp4,processed/accordion/pGbd4tmeqKU
accordion,GOYAkD21y3M,accordion/GOYAkD21y3M,raw_videos/accordion/GOYAkD21y3M.mp4,processed/accordion/GOYAkD21y3M
accordion,mNcNCf_rBio,accordion/mNcNCf_rBio,raw_videos/accordion/mNcNCf_rBio.mp4,processed/accordion/mNcNCf_rBio
accordion,mnJ8YN4TVoc,accordion/mnJ8YN4TVoc,raw_videos/accordion/mnJ8YN4TVoc.mp4,processed/accordion/mnJ8YN4TVoc
accordion,FKr0iyEtDbM,accordion/FKr0iyEtDbM,raw_videos/accordion/FKr0iyEtDbM.mp4,processed/accordion/FKr0iyEtDbM
accordion,80otFoj-13Y,accordion/80otFoj-13Y,raw_videos/accordion/80otFoj-13Y.mp4,processed/accordion/80otFoj-13Y
accordion,q63pNzXjgIo,accordion/q63pNzXjgIo,raw_videos/accordion/q63pNzXjgIo.mp4,processed/accordion/q63pNzXjgIo
accordion,UyfcXcExr_g,accordion/UyfcXcExr_g,raw_videos/accordion/UyfcXcExr_g.mp4,processed/accordion/UyfcXcExr_g
accordion,GaKM_b93h74,accordion/GaKM_b93h74,raw_videos/accordion/GaKM_b93h74.mp4,processed/accordion/GaKM_b93h74
accordion,AoSoUBpA9zc,accordion/AoSoUBpA9zc,raw_videos/accordion/AoSoUBpA9zc.mp4,processed/accordion/AoSoUBpA9zc
accordion,99vCUuD7DpI,accordion/99vCUuD7DpI,raw_videos/accordion/99vCUuD7DpI.mp4,processed/accordion/99vCUuD7DpI
accordion,ZR33hk5wpR8,accordion/ZR33hk5wpR8,raw_videos/accordion/ZR33hk5wpR8.mp4,processed/accordion/ZR33hk5wpR8
accordion,GWSjoRcfAjM,accordion/GWSjoRcfAjM,raw_videos/accordion/GWSjoRcfAjM.mp4,processed/accordion/GWSjoRcfAjM
accordion,XQaxu2KYFHU,accordion/XQaxu2KYFHU,raw_videos/accordion/XQaxu2KYFHU.mp4,processed/accordion/XQaxu2KYFHU
accordion,wkCULx8oiCc,accordion/wkCULx8oiCc,raw_videos/accordion/wkCULx8oiCc.mp4,processed/accordion/wkCULx8oiCc
accordion,JStaz9apfiM,accordion/JStaz9apfiM,raw_videos/accordion/JStaz9apfiM.mp4,processed/accordion/JStaz9apfiM
accordion,IMTyVvDoWUc,accordion/IMTyVvDoWUc,raw_videos/accordion/IMTyVvDoWUc.mp4,processed/accordion/IMTyVvDoWUc
accordion,6wbg6wlhJCU,accordion/6wbg6wlhJCU,raw_videos/accordion/6wbg6wlhJCU.mp4,processed/accordion/6wbg6wlhJCU
accordion,JDkZPd7J63E,accordion/JDkZPd7J63E,raw_videos/accordion/JDkZPd7J63E.mp4,processed/accordion/JDkZPd7J63E
accordion,ytGIQlD0X1w,accordion/ytGIQlD0X1w,raw_videos/accordion/ytGIQlD0X1w.mp4,processed/accordion/ytGIQlD0X1w
accordion,r-OwlyPj3-c,accordion/r-OwlyPj3-c,raw_videos/accordion/r-OwlyPj3-c.mp4,processed/accordion/r-OwlyPj3-c
accordion,ycJWClz-FBE,accordion/ycJWClz-FBE,raw_videos/accordion/ycJWClz-FBE.mp4,processed/accordion/ycJWClz-FBE
accordion,6dgbv1ccZ2E,accordion/6dgbv1ccZ2E,raw_videos/accordion/6dgbv1ccZ2E.mp4,processed/accordion/6dgbv1ccZ2E
accordion,nhDtWFD_a7I,accordion/nhDtWFD_a7I,raw_videos/accordion/nhDtWFD_a7I.mp4,processed/accordion/nhDtWFD_a7I
accordion,INumGyoMFYY,accordion/INumGyoMFYY,raw_videos/accordion/INumGyoMFYY.mp4,processed/accordion/INumGyoMFYY
accordion,DiNMGYnXkFo,accordion/DiNMGYnXkFo,raw_videos/accordion/DiNMGYnXkFo.mp4,processed/accordion/DiNMGYnXkFo
accordion,9JPdYmfv6pw,accordion/9JPdYmfv6pw,raw_videos/accordion/9JPdYmfv6pw.mp4,processed/accordion/9JPdYmfv6pw
accordion,wd3U_RjjLKU,accordion/wd3U_RjjLKU,raw_videos/accordion/wd3U_RjjLKU.mp4,processed/accordion/wd3U_RjjLKU
accordion,E6jlrR-M3tk,accordion/E6jlrR-M3tk,raw_videos/accordion/E6jlrR-M3tk.mp4,processed/accordion/E6jlrR-M3tk
accordion,EY_6esXl4nc,accordion/EY_6esXl4nc,raw_videos/accordion/EY_6esXl4nc.mp4,processed/accordion/EY_6esXl4nc
accordion,79m8lndzRN8,accordion/79m8lndzRN8,raw_videos/accordion/79m8lndzRN8.mp4,processed/accordion/79m8lndzRN8
accordion,lDG97buDYdk,accordion/lDG97buDYdk,raw_videos/accordion/lDG97buDYdk.mp4,processed/accordion/lDG97buDYdk
accordion,NlZdGai0Pbc,accordion/NlZdGai0Pbc,raw_videos/accordion/NlZdGai0Pbc.mp4,processed/accordion/NlZdGai0Pbc
accordion,z-dfTTz2e3Y,accordion/z-dfTTz2e3Y,raw_videos/accordion/z-dfTTz2e3Y.mp4,processed/accordion/z-dfTTz2e3Y
accordion,jIiuRPW4RH8,accordion/jIiuRPW4RH8,raw_videos/accordion/jIiuRPW4RH8.mp4,processed/accordion/jIiuRPW4RH8
accordion,2dqJFE8wN1k,accordion/2dqJFE8wN1k,raw_videos/accordion/2dqJFE8wN1k.mp4,processed/accordion/2dqJFE8wN1k
accordion,oD8eBiNsctY,accordion/oD8eBiNsctY,raw_videos/accordion/oD8eBiNsctY.mp4,processed/accordion/oD8eBiNsctY
accordion,kbH8tr1wrbc,accordion/kbH8tr1wrbc,raw_videos/accordion/kbH8tr1wrbc.mp4,processed/accordion/kbH8tr1wrbc
accordion,-DlGdZNAsxA,accordion/-DlGdZNAsxA,raw_videos/accordion/-DlGdZNAsxA.mp4,processed/accordion/-DlGdZNAsxA
accordion,NrHDuJYQIsY,accordion/NrHDuJYQIsY,raw_videos/accordion/NrHDuJYQIsY.mp4,processed/accordion/NrHDuJYQIsY
accordion,5kokiot2yJ4,accordion/5kokiot2yJ4,raw_videos/accordion/5kokiot2yJ4.mp4,processed/accordion/5kokiot2yJ4
accordion,Q7AkmA-3WHg,accordion/Q7AkmA-3WHg,raw_videos/accordion/Q7AkmA-3WHg.mp4,processed/accordion/Q7AkmA-3WHg
accordion,_v1B3I49H44,accordion/_v1B3I49H44,raw_videos/accordion/_v1B3I49H44.mp4,processed/accordion/_v1B3I49H44
accordion,KpgtyNPyEe8,accordion/KpgtyNPyEe8,raw_videos/accordion/KpgtyNPyEe8.mp4,processed/accordion/KpgtyNPyEe8
accordion,eR8Bc4XO3t8,accordion/eR8Bc4XO3t8,raw_videos/accordion/eR8Bc4XO3t8.mp4,processed/accordion/eR8Bc4XO3t8
accordion,xMT3fAxlfME,accordion/xMT3fAxlfME,raw_videos/accordion/xMT3fAxlfME.mp4,processed/accordion/xMT3fAxlfME
accordion,N7luCK9Pa2o,accordion/N7luCK9Pa2o,raw_videos/accordion/N7luCK9Pa2o.mp4,processed/accordion/N7luCK9Pa2o
accordion,1mPLqkKWaHo,accordion/1mPLqkKWaHo,raw_videos/accordion/1mPLqkKWaHo.mp4,processed/accordion/1mPLqkKWaHo
accordion,BQsiWEZrUbk,accordion/BQsiWEZrUbk,raw_videos/accordion/BQsiWEZrUbk.mp4,processed/accordion/BQsiWEZrUbk
accordion,ThaSqjfaej0,accordion/ThaSqjfaej0,raw_videos/accordion/ThaSqjfaej0.mp4,processed/accordion/ThaSqjfaej0
accordion,4kp-pXHQBRY,accordion/4kp-pXHQBRY,raw_videos/accordion/4kp-pXHQBRY.mp4,processed/accordion/4kp-pXHQBRY
accordion,Xzk99eJyd78,accordion/Xzk99eJyd78,raw_videos/accordion/Xzk99eJyd78.mp4,processed/accordion/Xzk99eJyd78
accordion,ctsQAstdwIM,accordion/ctsQAstdwIM,raw_videos/accordion/ctsQAstdwIM.mp4,processed/accordion/ctsQAstdwIM
accordion,DnvEZWbzh-U,accordion/DnvEZWbzh-U,raw_videos/accordion/DnvEZWbzh-U.mp4,processed/accordion/DnvEZWbzh-U
accordion,qa2aFB2eJ6s,accordion/qa2aFB2eJ6s,raw_videos/accordion/qa2aFB2eJ6s.mp4,processed/accordion/qa2aFB2eJ6s
accordion,dB25PZzYpNQ,accordion/dB25PZzYpNQ,raw_videos/accordion/dB25PZzYpNQ.mp4,processed/accordion/dB25PZzYpNQ
accordion,bkfeQhCwpQ0,accordion/bkfeQhCwpQ0,raw_videos/accordion/bkfeQhCwpQ0.mp4,processed/accordion/bkfeQhCwpQ0
accordion,M46I8XPnYZQ,accordion/M46I8XPnYZQ,raw_videos/accordion/M46I8XPnYZQ.mp4,processed/accordion/M46I8XPnYZQ
accordion,YjtpU7y_Ebo,accordion/YjtpU7y_Ebo,raw_videos/accordion/YjtpU7y_Ebo.mp4,processed/accordion/YjtpU7y_Ebo
accordion,_PxMPxpVIWA,accordion/_PxMPxpVIWA,raw_videos/accordion/_PxMPxpVIWA.mp4,processed/accordion/_PxMPxpVIWA
accordion,PdutY0aZ5-8,accordion/PdutY0aZ5-8,raw_videos/accordion/PdutY0aZ5-8.mp4,processed/accordion/PdutY0aZ5-8
accordion,Rpvf9mmBPkc,accordion/Rpvf9mmBPkc,raw_videos/accordion/Rpvf9mmBPkc.mp4,processed/accordion/Rpvf9mmBPkc
accordion,i6AssNmqsXM,accordion/i6AssNmqsXM,raw_videos/accordion/i6AssNmqsXM.mp4,processed/accordion/i6AssNmqsXM
accordion,2Wq8myJhgF8,accordion/2Wq8myJhgF8,raw_videos/accordion/2Wq8myJhgF8.mp4,processed/accordion/2Wq8myJhgF8
accordion,eHRaPghrs7g,accordion/eHRaPghrs7g,raw_videos/accordion/eHRaPghrs7g.mp4,processed/accordion/eHRaPghrs7g
accordion,PTCVf8YMp80,accordion/PTCVf8YMp80,raw_videos/accordion/PTCVf8YMp80.mp4,processed/accordion/PTCVf8YMp80
accordion,5xpOPhY1HeY,accordion/5xpOPhY1HeY,raw_videos/accordion/5xpOPhY1HeY.mp4,processed/accordion/5xpOPhY1HeY
accordion,dlQMxkdWcSo,accordion/dlQMxkdWcSo,raw_videos/accordion/dlQMxkdWcSo.mp4,processed/accordion/dlQMxkdWcSo
accordion,vYwZhdEY0t8,accordion/vYwZhdEY0t8,raw_videos/accordion/vYwZhdEY0t8.mp4,processed/accordion/vYwZhdEY0t8
accordion,xbJIvQMsKyI,accordion/xbJIvQMsKyI,raw_videos/accordion/xbJIvQMsKyI.mp4,processed/accordion/xbJIvQMsKyI
accordion,wWlJC04T9Ks,accordion/wWlJC04T9Ks,raw_videos/accordion/wWlJC04T9Ks.mp4,processed/accordion/wWlJC04T9Ks
accordion,tV-8PV6ZR8M,accordion/tV-8PV6ZR8M,raw_videos/accordion/tV-8PV6ZR8M.mp4,processed/accordion/tV-8PV6ZR8M
accordion,8ycBdij47wY,accordion/8ycBdij47wY,raw_videos/accordion/8ycBdij47wY.mp4,processed/accordion/8ycBdij47wY
accordion,-hgozM5UIzw,accordion/-hgozM5UIzw,raw_videos/accordion/-hgozM5UIzw.mp4,processed/accordion/-hgozM5UIzw
accordion,55iWpL55Ggw,accordion/55iWpL55Ggw,raw_videos/accordion/55iWpL55Ggw.mp4,processed/accordion/55iWpL55Ggw
accordion,0H2eZjAJ2sE,accordion/0H2eZjAJ2sE,raw_videos/accordion/0H2eZjAJ2sE.mp4,processed/accordion/0H2eZjAJ2sE
accordion,FngIjAYFquU,accordion/FngIjAYFquU,raw_videos/accordion/FngIjAYFquU.mp4,processed/accordion/FngIjAYFquU
accordion,sZyiS_9Znck,accordion/sZyiS_9Znck,raw_videos/accordion/sZyiS_9Znck.mp4,processed/accordion/sZyiS_9Znck
accordion,PMrBdFhtT2k,accordion/PMrBdFhtT2k,raw_videos/accordion/PMrBdFhtT2k.mp4,processed/accordion/PMrBdFhtT2k
accordion,MhiCPLUb1II,accordion/MhiCPLUb1II,raw_videos/accordion/MhiCPLUb1II.mp4,processed/accordion/MhiCPLUb1II
accordion,MuG8ZwgimII,accordion/MuG8ZwgimII,raw_videos/accordion/MuG8ZwgimII.mp4,processed/accordion/MuG8ZwgimII
accordion,4a5PYkoDyng,accordion/4a5PYkoDyng,raw_videos/accordion/4a5PYkoDyng.mp4,processed/accordion/4a5PYkoDyng
accordion,JynH5UZguGM,accordion/JynH5UZguGM,raw_videos/accordion/JynH5UZguGM.mp4,processed/accordion/JynH5UZguGM
accordion,VAl9DPPnYfU,accordion/VAl9DPPnYfU,raw_videos/accordion/VAl9DPPnYfU.mp4,processed/accordion/VAl9DPPnYfU
accordion,P2wNohBVjoQ,accordion/P2wNohBVjoQ,raw_videos/accordion/P2wNohBVjoQ.mp4,processed/accordion/P2wNohBVjoQ
accordion,bS7WzLyg1tU,accordion/bS7WzLyg1tU,raw_videos/accordion/bS7WzLyg1tU.mp4,processed/accordion/bS7WzLyg1tU
accordion,wGm5r5Kb_q8,accordion/wGm5r5Kb_q8,raw_videos/accordion/wGm5r5Kb_q8.mp4,processed/accordion/wGm5r5Kb_q8
accordion,tPOSr7e3Yus,accordion/tPOSr7e3Yus,raw_videos/accordion/tPOSr7e3Yus.mp4,processed/accordion/tPOSr7e3Yus
accordion,3FTYVRhCKG4,accordion/3FTYVRhCKG4,raw_videos/accordion/3FTYVRhCKG4.mp4,processed/accordion/3FTYVRhCKG4
accordion,XqyiiIt-NY4,accordion/XqyiiIt-NY4,raw_videos/accordion/XqyiiIt-NY4.mp4,processed/accordion/XqyiiIt-NY4
accordion,K8oMA9cIk64,accordion/K8oMA9cIk64,raw_videos/accordion/K8oMA9cIk64.mp4,processed/accordion/K8oMA9cIk64
accordion,p9PhrOxBGLo,accordion/p9PhrOxBGLo,raw_videos/accordion/p9PhrOxBGLo.mp4,processed/accordion/p9PhrOxBGLo
accordion,Axe0_1N3MMk,accordion/Axe0_1N3MMk,raw_videos/accordion/Axe0_1N3MMk.mp4,processed/accordion/Axe0_1N3MMk
accordion,6XrRl9B3zJs,accordion/6XrRl9B3zJs,raw_videos/accordion/6XrRl9B3zJs.mp4,processed/accordion/6XrRl9B3zJs
accordion,P2wNohBVjoQ,accordion/P2wNohBVjoQ,raw_videos/accordion/P2wNohBVjoQ.mp4,processed/accordion/P2wNohBVjoQ
accordion,oKxbEZp3bSw,accordion/oKxbEZp3bSw,raw_videos/accordion/oKxbEZp3bSw.mp4,processed/accordion/oKxbEZp3bSw
accordion,WyhKwjDOObQ,accordion/WyhKwjDOObQ,raw_videos/accordion/WyhKwjDOObQ.mp4,processed/accordion/WyhKwjDOObQ
accordion,3XJ8A1FFxY8,accordion/3XJ8A1FFxY8,raw_videos/accordion/3XJ8A1FFxY8.mp4,processed/accordion/3XJ8A1FFxY8
accordion,qnDDLaIDWz8,accordion/qnDDLaIDWz8,raw_videos/accordion/qnDDLaIDWz8.mp4,processed/accordion/qnDDLaIDWz8
accordion,-Wc-bAEhQBY,accordion/-Wc-bAEhQBY,raw_videos/accordion/-Wc-bAEhQBY.mp4,processed/accordion/-Wc-bAEhQBY
acoustic_guitar,IPsA3sz934M,acoustic_guitar/IPsA3sz934M,raw_videos/acoustic_guitar/IPsA3sz934M.mp4,processed/acoustic_guitar/IPsA3sz934M
acoustic_guitar,XTKxjzg1xwM,acoustic_guitar/XTKxjzg1xwM,raw_videos/acoustic_guitar/XTKxjzg1xwM.mp4,processed/acoustic_guitar/XTKxjzg1xwM
acoustic_guitar,HPyM9xzrih0,acoustic_guitar/HPyM9xzrih0,raw_videos/acoustic_guitar/HPyM9xzrih0.mp4,processed/acoustic_guitar/HPyM9xzrih0
acoustic_guitar,4AI18Hhy5No,acoustic_guitar/4AI18Hhy5No,raw_videos/acoustic_guitar/4AI18Hhy5No.mp4,processed/acoustic_guitar/4AI18Hhy5No
acoustic_guitar,-8AgRz5Jdrw,acoustic_guitar/-8AgRz5Jdrw,raw_videos/acoustic_guitar/-8AgRz5Jdrw.mp4,processed/acoustic_guitar/-8AgRz5Jdrw
acoustic_guitar,8UirJ7SEBm8,acoustic_guitar/8UirJ7SEBm8,raw_videos/acoustic_guitar/8UirJ7SEBm8.mp4,processed/acoustic_guitar/8UirJ7SEBm8
acoustic_guitar,PDohhCaNf98,acoustic_guitar/PDohhCaNf98,raw_videos/acoustic_guitar/PDohhCaNf98.mp4,processed/acoustic_guitar/PDohhCaNf98
acoustic_guitar,86hnEemgPPw,acoustic_guitar/86hnEemgPPw,raw_videos/acoustic_guitar/86hnEemgPPw.mp4,processed/acoustic_guitar/86hnEemgPPw
acoustic_guitar,Y-dpHbPGQWE,acoustic_guitar/Y-dpHbPGQWE,raw_videos/acoustic_guitar/Y-dpHbPGQWE.mp4,processed/acoustic_guitar/Y-dpHbPGQWE
acoustic_guitar,PY3pK0Guf2Y,acoustic_guitar/PY3pK0Guf2Y,raw_videos/acoustic_guitar/PY3pK0Guf2Y.mp4,processed/acoustic_guitar/PY3pK0Guf2Y
acoustic_guitar,9SZLDvRaHEA,acoustic_guitar/9SZLDvRaHEA,raw_videos/acoustic_guitar/9SZLDvRaHEA.mp4,processed/acoustic_guitar/9SZLDvRaHEA
