sample_key,status,output_path,downloaded_bytes,estimated_total_bytes,error_message
acoustic_guitar/XYizxH7yAqA,error,/mnt/e/raw_videos/acoustic_guitar/XYizxH7yAqA.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/8RblA-E3140,error,/mnt/e/raw_videos/acoustic_guitar/8RblA-E3140.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/8YELO9yxs_c,error,/mnt/e/raw_videos/acoustic_guitar/8YELO9yxs_c.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/ZeQPNWdFs_4,error,/mnt/e/raw_videos/acoustic_guitar/ZeQPNWdFs_4.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/MhNjhYrEbrc,error,/mnt/e/raw_videos/acoustic_guitar/MhNjhYrEbrc.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/CW3D1vKrRkg,error,/mnt/e/raw_videos/acoustic_guitar/CW3D1vKrRkg.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/02l2E7p1tks,error,/mnt/e/raw_videos/acoustic_guitar/02l2E7p1tks.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/uCk6wOm0Ny4,error,/mnt/e/raw_videos/acoustic_guitar/uCk6wOm0Ny4.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/AGRt2Y6k5FI,error,/mnt/e/raw_videos/acoustic_guitar/AGRt2Y6k5FI.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/w0NWyKjQPqY,error,/mnt/e/raw_videos/acoustic_guitar/w0NWyKjQPqY.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/NEFpxpOohzU,error,/mnt/e/raw_videos/acoustic_guitar/NEFpxpOohzU.mp4,0,,yt-dlp exited with code 1
cello/-_-TDDxoaAc,error,/mnt/e/raw_videos/cello/-_-TDDxoaAc.mp4,0,,yt-dlp exited with code 1
cello/-Gdh8N_KpLY,error,/mnt/e/raw_videos/cello/-Gdh8N_KpLY.mp4,0,,yt-dlp exited with code 1
cello/PmdfpSyB3BY,error,/mnt/e/raw_videos/cello/PmdfpSyB3BY.mp4,0,,yt-dlp exited with code 1
cello/iEwM2PHLMZQ,error,/mnt/e/raw_videos/cello/iEwM2PHLMZQ.mp4,0,,yt-dlp exited with code 1
cello/IuxbEH6fdJU,error,/mnt/e/raw_videos/cello/IuxbEH6fdJU.mp4,0,,yt-dlp exited with code 1
cello/GTE_vbuCUiY,error,/mnt/e/raw_videos/cello/GTE_vbuCUiY.mp4,0,,yt-dlp exited with code 1
cello/sjD88_vuOgU,error,/mnt/e/raw_videos/cello/sjD88_vuOgU.mp4,0,,yt-dlp exited with code 1
cello/mSzIj0YYka4,error,/mnt/e/raw_videos/cello/mSzIj0YYka4.mp4,0,,yt-dlp exited with code 1
cello/GxhHD6gH3CY,error,/mnt/e/raw_videos/cello/GxhHD6gH3CY.mp4,0,,yt-dlp exited with code 1
cello/-2Sz3vubR_4,error,/mnt/e/raw_videos/cello/-2Sz3vubR_4.mp4,0,,yt-dlp exited with code 1
cello/E1jK3pi1e1U,error,/mnt/e/raw_videos/cello/E1jK3pi1e1U.mp4,0,,yt-dlp exited with code 1
cello/sD_eEmEb5CQ,error,/mnt/e/raw_videos/cello/sD_eEmEb5CQ.mp4,0,,yt-dlp exited with code 1
cello/OywVaTOqMWo,error,/mnt/e/raw_videos/cello/OywVaTOqMWo.mp4,0,,yt-dlp exited with code 1
cello/ZJeuG8YtP5A,error,/mnt/e/raw_videos/cello/ZJeuG8YtP5A.mp4,0,,yt-dlp exited with code 1
cello/a9F_Y_LWfsY,error,/mnt/e/raw_videos/cello/a9F_Y_LWfsY.mp4,0,,yt-dlp exited with code 1
cello/62-x2rOyXmE,error,/mnt/e/raw_videos/cello/62-x2rOyXmE.mp4,0,,yt-dlp exited with code 1
cello/RL9Jh3J1K6Q,error,/mnt/e/raw_videos/cello/RL9Jh3J1K6Q.mp4,0,,yt-dlp exited with code 1
cello/Z7Nm2SDE_fQ,error,/mnt/e/raw_videos/cello/Z7Nm2SDE_fQ.mp4,0,,yt-dlp exited with code 1
cello/T0JhROsyPB8,error,/mnt/e/raw_videos/cello/T0JhROsyPB8.mp4,0,,yt-dlp exited with code 1
cello/N3WgmV7h8y8,error,/mnt/e/raw_videos/cello/N3WgmV7h8y8.mp4,0,,yt-dlp exited with code 1
cello/pnu3ZX90Jh4,error,/mnt/e/raw_videos/cello/pnu3ZX90Jh4.mp4,0,,yt-dlp exited with code 1
cello/xiHbU-oMff0,error,/mnt/e/raw_videos/cello/xiHbU-oMff0.mp4,0,,yt-dlp exited with code 1
cello/VZ63_kIgDW0,error,/mnt/e/raw_videos/cello/VZ63_kIgDW0.mp4,0,,yt-dlp exited with code 1
flute/3wPouBFa9U0,error,/mnt/e/raw_videos/flute/3wPouBFa9U0.mp4,0,,yt-dlp exited with code 1
flute/yaWxyD4zFKE,error,/mnt/e/raw_videos/flute/yaWxyD4zFKE.mp4,0,,yt-dlp exited with code 1
flute/D5gWhSH7jRU,error,/mnt/e/raw_videos/flute/D5gWhSH7jRU.mp4,0,,yt-dlp exited with code 1
flute/8TfadG55yWk,error,/mnt/e/raw_videos/flute/8TfadG55yWk.mp4,0,,yt-dlp exited with code 1
flute/ypa0L0Rq5QI,error,/mnt/e/raw_videos/flute/ypa0L0Rq5QI.mp4,0,,yt-dlp exited with code 1
flute/azUffG1Ao8U,error,/mnt/e/raw_videos/flute/azUffG1Ao8U.mp4,0,,yt-dlp exited with code 1
flute/kbTy_5o6AB4,error,/mnt/e/raw_videos/flute/kbTy_5o6AB4.mp4,0,,yt-dlp exited with code 1
flute/zg0Q1KUM3so,error,/mnt/e/raw_videos/flute/zg0Q1KUM3so.mp4,0,,yt-dlp exited with code 1
flute/tdfx-koH_kc,error,/mnt/e/raw_videos/flute/tdfx-koH_kc.mp4,0,,yt-dlp exited with code 1
flute/X0T6KysSejQ,error,/mnt/e/raw_videos/flute/X0T6KysSejQ.mp4,49548235,,yt-dlp exited with code 1
flute/VaHhGz86rB0,error,/mnt/e/raw_videos/flute/VaHhGz86rB0.mp4,0,,yt-dlp exited with code 1
flute/jC_ShqFGeFM,error,/mnt/e/raw_videos/flute/jC_ShqFGeFM.mp4,0,,yt-dlp exited with code 1
flute/wfiAV2T5lbc,error,/mnt/e/raw_videos/flute/wfiAV2T5lbc.mp4,0,,yt-dlp exited with code 1
flute/7T-_6kocIeE,error,/mnt/e/raw_videos/flute/7T-_6kocIeE.mp4,0,,yt-dlp exited with code 1
flute/rf8ANjqx1no,error,/mnt/e/raw_videos/flute/rf8ANjqx1no.mp4,0,,yt-dlp exited with code 1
flute/JuGn9nFfc8Y,error,/mnt/e/raw_videos/flute/JuGn9nFfc8Y.mp4,0,,yt-dlp exited with code 1
flute/iDpveE0CEVw,error,/mnt/e/raw_videos/flute/iDpveE0CEVw.mp4,0,,yt-dlp exited with code 1
flute/oqlz5yuhMzY,error,/mnt/e/raw_videos/flute/oqlz5yuhMzY.mp4,0,,yt-dlp exited with code 1
flute/y_DyvjBIZhY,error,/mnt/e/raw_videos/flute/y_DyvjBIZhY.mp4,0,,yt-dlp exited with code 1
flute/kddKYLf3asc,error,/mnt/e/raw_videos/flute/kddKYLf3asc.mp4,0,,yt-dlp exited with code 1
saxophone/FR_1gEaBeeE,error,/mnt/e/raw_videos/saxophone/FR_1gEaBeeE.mp4,0,,yt-dlp exited with code 1
saxophone/Ya6eKoSr024,error,/mnt/e/raw_videos/saxophone/Ya6eKoSr024.mp4,0,,yt-dlp exited with code 1
saxophone/e5YNEk9Ye-o,error,/mnt/e/raw_videos/saxophone/e5YNEk9Ye-o.mp4,0,,yt-dlp exited with code 1
saxophone/YS8V2wcd2J0,error,/mnt/e/raw_videos/saxophone/YS8V2wcd2J0.mp4,0,,yt-dlp exited with code 1
saxophone/0lsgzZzCSXo,error,/mnt/e/raw_videos/saxophone/0lsgzZzCSXo.mp4,0,,yt-dlp exited with code 1
saxophone/jBXDErsij0s,error,/mnt/e/raw_videos/saxophone/jBXDErsij0s.mp4,0,,yt-dlp exited with code 1
saxophone/zof4H47Pu4I,error,/mnt/e/raw_videos/saxophone/zof4H47Pu4I.mp4,0,,yt-dlp exited with code 1
saxophone/0lsgzZzCSXo,error,/mnt/e/raw_videos/saxophone/0lsgzZzCSXo.mp4,0,,yt-dlp exited with code 1
saxophone/jBXDErsij0s,error,/mnt/e/raw_videos/saxophone/jBXDErsij0s.mp4,0,,yt-dlp exited with code 1
trumpet/ZuJEVqon3lM,error,/mnt/e/raw_videos/trumpet/ZuJEVqon3lM.mp4,0,,yt-dlp exited with code 1
trumpet/iqyw0xR5Wf0,error,/mnt/e/raw_videos/trumpet/iqyw0xR5Wf0.mp4,0,,yt-dlp exited with code 1
trumpet/R9VbtH2rw74,error,/mnt/e/raw_videos/trumpet/R9VbtH2rw74.mp4,0,,yt-dlp exited with code 1
trumpet/STKXyBGSGyE,error,/mnt/e/raw_videos/trumpet/STKXyBGSGyE.mp4,0,,yt-dlp exited with code 1
trumpet/rZYf9Dl8ew0,error,/mnt/e/raw_videos/trumpet/rZYf9Dl8ew0.mp4,0,,yt-dlp exited with code 1
trumpet/jl4iDbOsrJM,error,/mnt/e/raw_videos/trumpet/jl4iDbOsrJM.mp4,0,,yt-dlp exited with code 1
trumpet/qsciXAjiwF0,error,/mnt/e/raw_videos/trumpet/qsciXAjiwF0.mp4,0,,yt-dlp exited with code 1
trumpet/-dGfOlFsY20,error,/mnt/e/raw_videos/trumpet/-dGfOlFsY20.mp4,0,,yt-dlp exited with code 1
trumpet/Uf8tQZn-3EI,error,/mnt/e/raw_videos/trumpet/Uf8tQZn-3EI.mp4,0,,yt-dlp exited with code 1
trumpet/qNxOVwGoHEM,error,/mnt/e/raw_videos/trumpet/qNxOVwGoHEM.mp4,0,,yt-dlp exited with code 1
trumpet/c-pE8qCzbqE,error,/mnt/e/raw_videos/trumpet/c-pE8qCzbqE.mp4,0,,yt-dlp exited with code 1
trumpet/q1PuMTvbZD4,error,/mnt/e/raw_videos/trumpet/q1PuMTvbZD4.mp4,0,,yt-dlp exited with code 1
trumpet/R71jci0uH4c,error,/mnt/e/raw_videos/trumpet/R71jci0uH4c.mp4,0,,yt-dlp exited with code 1
trumpet/jwR0UGoDNAQ,error,/mnt/e/raw_videos/trumpet/jwR0UGoDNAQ.mp4,0,,yt-dlp exited with code 1
trumpet/NQAa7YHzc3M,error,/mnt/e/raw_videos/trumpet/NQAa7YHzc3M.mp4,0,,yt-dlp exited with code 1
trumpet/Vpawb0YWvEg,error,/mnt/e/raw_videos/trumpet/Vpawb0YWvEg.mp4,0,,yt-dlp exited with code 1
trumpet/YcXK-dWMxC0,error,/mnt/e/raw_videos/trumpet/YcXK-dWMxC0.mp4,0,,yt-dlp exited with code 1
tuba/AKNt1SF-5VA,error,/mnt/e/raw_videos/tuba/AKNt1SF-5VA.mp4,0,,yt-dlp exited with code 1
tuba/43N29koKyPo,error,/mnt/e/raw_videos/tuba/43N29koKyPo.mp4,0,,yt-dlp exited with code 1
tuba/ZtVxXYObmOQ,error,/mnt/e/raw_videos/tuba/ZtVxXYObmOQ.mp4,0,,yt-dlp exited with code 1
tuba/1rcU3mH1VVA,error,/mnt/e/raw_videos/tuba/1rcU3mH1VVA.mp4,0,,yt-dlp exited with code 1
tuba/NDVxjRCWjYU,error,/mnt/e/raw_videos/tuba/NDVxjRCWjYU.mp4,0,,yt-dlp exited with code 1
tuba/DVrCy36Uigo,error,/mnt/e/raw_videos/tuba/DVrCy36Uigo.mp4,0,,yt-dlp exited with code 1
tuba/5Ru90VkovhM,error,/mnt/e/raw_videos/tuba/5Ru90VkovhM.mp4,0,,yt-dlp exited with code 1
tuba/6pkShdDe9LU,error,/mnt/e/raw_videos/tuba/6pkShdDe9LU.mp4,0,,yt-dlp exited with code 1
tuba/9RSYp7jWRfY,error,/mnt/e/raw_videos/tuba/9RSYp7jWRfY.mp4,0,,yt-dlp exited with code 1
tuba/35TPV7_D7do,error,/mnt/e/raw_videos/tuba/35TPV7_D7do.mp4,0,,yt-dlp exited with code 1
tuba/InzjAr8VdvY,error,/mnt/e/raw_videos/tuba/InzjAr8VdvY.mp4,0,,yt-dlp exited with code 1
tuba/UNFwNbFdiTI,error,/mnt/e/raw_videos/tuba/UNFwNbFdiTI.mp4,0,,yt-dlp exited with code 1
tuba/u6Mr13lHQVs,error,/mnt/e/raw_videos/tuba/u6Mr13lHQVs.mp4,0,,yt-dlp exited with code 1
tuba/VTWjqy-zTQY,error,/mnt/e/raw_videos/tuba/VTWjqy-zTQY.mp4,0,,yt-dlp exited with code 1
tuba/iphjWrBzYgU,error,/mnt/e/raw_videos/tuba/iphjWrBzYgU.mp4,0,,yt-dlp exited with code 1
tuba/5zpsR2Urr7M,error,/mnt/e/raw_videos/tuba/5zpsR2Urr7M.mp4,0,,yt-dlp exited with code 1
tuba/latogof9iy4,error,/mnt/e/raw_videos/tuba/latogof9iy4.mp4,0,,yt-dlp exited with code 1
tuba/CvnjPWu7UuA,error,/mnt/e/raw_videos/tuba/CvnjPWu7UuA.mp4,0,,yt-dlp exited with code 1
tuba/PnoQOM_R11E,error,/mnt/e/raw_videos/tuba/PnoQOM_R11E.mp4,0,,yt-dlp exited with code 1
tuba/UNFwNbFdiTI,error,/mnt/e/raw_videos/tuba/UNFwNbFdiTI.mp4,0,,yt-dlp exited with code 1
tuba/19vZQxgAb0U,error,/mnt/e/raw_videos/tuba/19vZQxgAb0U.mp4,0,,yt-dlp exited with code 1
tuba/UDiBuDPv7JU,error,/mnt/e/raw_videos/tuba/UDiBuDPv7JU.mp4,0,,yt-dlp exited with code 1
tuba/f9cUlzWCcwk,error,/mnt/e/raw_videos/tuba/f9cUlzWCcwk.mp4,0,,yt-dlp exited with code 1
violin/P4KxMdjna0k,error,/mnt/e/raw_videos/violin/P4KxMdjna0k.mp4,0,,yt-dlp exited with code 1
violin/DR03cfIsEts,error,/mnt/e/raw_videos/violin/DR03cfIsEts.mp4,0,,yt-dlp exited with code 1
violin/rJF0fwLg4eg,error,/mnt/e/raw_videos/violin/rJF0fwLg4eg.mp4,0,,yt-dlp exited with code 1
violin/ICKS19qRRd4,error,/mnt/e/raw_videos/violin/ICKS19qRRd4.mp4,0,,yt-dlp exited with code 1
violin/-_jlqeSs6ZU,error,/mnt/e/raw_videos/violin/-_jlqeSs6ZU.mp4,0,,yt-dlp exited with code 1
violin/GysCM0WBZzM,error,/mnt/e/raw_videos/violin/GysCM0WBZzM.mp4,0,,yt-dlp exited with code 1
violin/350gcE73hqY,error,/mnt/e/raw_videos/violin/350gcE73hqY.mp4,0,,yt-dlp exited with code 1
violin/rg41DcQAwWI,error,/mnt/e/raw_videos/violin/rg41DcQAwWI.mp4,0,,yt-dlp exited with code 1
violin/MeAWoVYCPL8,error,/mnt/e/raw_videos/violin/MeAWoVYCPL8.mp4,0,,yt-dlp exited with code 1
violin/nGahnuCyYeo,error,/mnt/e/raw_videos/violin/nGahnuCyYeo.mp4,0,,yt-dlp exited with code 1
violin/4K7AlAXMtxY,error,/mnt/e/raw_videos/violin/4K7AlAXMtxY.mp4,0,,yt-dlp exited with code 1
violin/DR03cfIsEts,error,/mnt/e/raw_videos/violin/DR03cfIsEts.mp4,0,,yt-dlp exited with code 1
violin/yIc4fxTSlqQ,error,/mnt/e/raw_videos/violin/yIc4fxTSlqQ.mp4,0,,yt-dlp exited with code 1
violin/2mEb8X7WlnI,error,/mnt/e/raw_videos/violin/2mEb8X7WlnI.mp4,0,,yt-dlp exited with code 1
violin/PR60h-pHWuI,error,/mnt/e/raw_videos/violin/PR60h-pHWuI.mp4,0,,yt-dlp exited with code 1
violin/XojKQywZc6Q,error,/mnt/e/raw_videos/violin/XojKQywZc6Q.mp4,3793613,,yt-dlp exited with code 1
violin/CTBf60PFQsw,error,/mnt/e/raw_videos/violin/CTBf60PFQsw.mp4,0,,yt-dlp exited with code 1
violin/v_D3rArEOq0,error,/mnt/e/raw_videos/violin/v_D3rArEOq0.mp4,71844412,,yt-dlp exited with code 1
violin/u8Mx1-JDtZw,error,/mnt/e/raw_videos/violin/u8Mx1-JDtZw.mp4,0,,yt-dlp exited with code 1
violin/j61tsN1w4O0,error,/mnt/e/raw_videos/violin/j61tsN1w4O0.mp4,0,,yt-dlp exited with code 1
violin/znh7veCZ0Ys,error,/mnt/e/raw_videos/violin/znh7veCZ0Ys.mp4,0,,yt-dlp exited with code 1
violin/EXYH5Qpy5e0,error,/mnt/e/raw_videos/violin/EXYH5Qpy5e0.mp4,0,,yt-dlp exited with code 1
xylophone/apWmZcw_AMs,error,/mnt/e/raw_videos/xylophone/apWmZcw_AMs.mp4,0,,yt-dlp exited with code 1
xylophone/R1sba2e-tqE,error,/mnt/e/raw_videos/xylophone/R1sba2e-tqE.mp4,0,,yt-dlp exited with code 1
xylophone/KSwJUA3zbec,error,/mnt/e/raw_videos/xylophone/KSwJUA3zbec.mp4,0,,yt-dlp exited with code 1
xylophone/MpnH7ZHwYwA,error,/mnt/e/raw_videos/xylophone/MpnH7ZHwYwA.mp4,0,,yt-dlp exited with code 1
xylophone/894n_sDSEc0,error,/mnt/e/raw_videos/xylophone/894n_sDSEc0.mp4,0,,yt-dlp exited with code 1
xylophone/WDoDLGK7zQo,error,/mnt/e/raw_videos/xylophone/WDoDLGK7zQo.mp4,0,,yt-dlp exited with code 1
xylophone/5p7L6Ufypuk,error,/mnt/e/raw_videos/xylophone/5p7L6Ufypuk.mp4,0,,yt-dlp exited with code 1
xylophone/BwDQ9VIW74Q,error,/mnt/e/raw_videos/xylophone/BwDQ9VIW74Q.mp4,0,,yt-dlp exited with code 1
xylophone/OZDN7VkC6AY,error,/mnt/e/raw_videos/xylophone/OZDN7VkC6AY.mp4,0,,yt-dlp exited with code 1
xylophone/Jtq-HDS3Zdc,error,/mnt/e/raw_videos/xylophone/Jtq-HDS3Zdc.mp4,0,,yt-dlp exited with code 1
xylophone/Wrh94KyWvpU,error,/mnt/e/raw_videos/xylophone/Wrh94KyWvpU.mp4,0,,yt-dlp exited with code 1
xylophone/PS8diKmWs8I,error,/mnt/e/raw_videos/xylophone/PS8diKmWs8I.mp4,0,,yt-dlp exited with code 1
xylophone/BiaiDlV13-E,error,/mnt/e/raw_videos/xylophone/BiaiDlV13-E.mp4,0,,yt-dlp exited with code 1
xylophone/74nVoEVMJDs,error,/mnt/e/raw_videos/xylophone/74nVoEVMJDs.mp4,0,,yt-dlp exited with code 1
xylophone/qLnO12t3Ow8,error,/mnt/e/raw_videos/xylophone/qLnO12t3Ow8.mp4,0,,yt-dlp exited with code 1
xylophone/cgSr0R6J430,error,/mnt/e/raw_videos/xylophone/cgSr0R6J430.mp4,0,,yt-dlp exited with code 1
xylophone/QTib0vyyXWo,error,/mnt/e/raw_videos/xylophone/QTib0vyyXWo.mp4,0,,yt-dlp exited with code 1
xylophone/ZTK3rvsN_q4,error,/mnt/e/raw_videos/xylophone/ZTK3rvsN_q4.mp4,0,,yt-dlp exited with code 1
xylophone/LEoCI5z-vS4,error,/mnt/e/raw_videos/xylophone/LEoCI5z-vS4.mp4,0,,yt-dlp exited with code 1
xylophone/WYP_B9zVKE0,error,/mnt/e/raw_videos/xylophone/WYP_B9zVKE0.mp4,0,,yt-dlp exited with code 1
